Symbol,Date      ,Close ,High    ,Low     ,Open    ,Volume
AAPL  ,2017-08-03,155.57,157.21  ,155.02  ,157.05  ,27097296
AAPL  ,2017-08-04,156.39,157.4   ,155.69  ,156.07  ,20559852
AAPL  ,2017-08-07,158.81,158.92  ,156.6701,157.06  ,21870321
AAPL  ,2017-08-08,160.08,161.83  ,158.27  ,158.6   ,36205896
AAPL  ,2017-08-09,161.06,161.27  ,159.11  ,159.26  ,26131530
AAPL  ,2017-08-10,155.32,160.0   ,154.63  ,159.9   ,40804273
AAPL  ,2017-08-11,157.48,158.5728,156.07  ,156.6   ,26257096
AAPL  ,2017-08-14,159.85,160.21  ,158.75  ,159.32  ,22122734
AAPL  ,2017-08-15,161.6 ,162.195 ,160.14  ,160.66  ,29465487
AAPL  ,2017-08-16,160.95,162.51  ,160.15  ,161.94  ,27671612
AAPL  ,2017-08-17,157.86,160.71  ,157.84  ,160.52  ,27940565
AAPL  ,2017-08-18,157.5 ,159.5   ,156.72  ,157.86  ,27428069
AAPL  ,2017-08-21,157.21,157.89  ,155.1101,157.5   ,26368528
AAPL  ,2017-08-22,159.78,160.0   ,158.02  ,158.23  ,21604585
AAPL  ,2017-08-23,159.98,160.47  ,158.88  ,159.07  ,19399081
AAPL  ,2017-08-24,159.27,160.74  ,158.55  ,160.43  ,19818918
AAPL  ,2017-08-25,159.86,160.56  ,159.27  ,159.65  ,25480063
AAPL  ,2017-08-28,161.47,162.0   ,159.93  ,160.14  ,25965972
AAPL  ,2017-08-29,162.91,163.12  ,160.0   ,160.1   ,29516910
AAPL  ,2017-08-30,163.35,163.89  ,162.61  ,163.8   ,27269584
AAPL  ,2017-08-31,164.0 ,164.52  ,163.48  ,163.64  ,26785096
AAPL  ,2017-09-01,164.05,164.94  ,163.63  ,164.8   ,16591051
AAPL  ,2017-09-04,164.05,164.05  ,164.05  ,164.05  ,0
AAPL  ,2017-09-05,162.08,164.25  ,160.56  ,163.75  ,29536314
AAPL  ,2017-09-06,161.91,162.99  ,160.52  ,162.71  ,21651726
AAPL  ,2017-09-07,161.26,162.24  ,160.36  ,162.09  ,21928502
AAPL  ,2017-09-08,158.63,161.15  ,158.53  ,160.86  ,28611535
AAPL  ,2017-09-11,161.5 ,162.05  ,159.89  ,160.5   ,31580798
AAPL  ,2017-09-12,160.86,163.96  ,158.77  ,162.61  ,71714046
AAPL  ,2017-09-13,159.65,159.96  ,157.91  ,159.87  ,44907361
AAPL  ,2017-09-14,158.28,159.4   ,158.09  ,158.99  ,23760749
AAPL  ,2017-09-15,159.88,160.97  ,158.0   ,158.47  ,49114602
AAPL  ,2017-09-18,158.67,160.5   ,157.995 ,160.11  ,28269435
AAPL  ,2017-09-19,158.73,159.77  ,158.44  ,159.51  ,20810632
AAPL  ,2017-09-20,156.07,158.26  ,153.83  ,157.9   ,52951364
AAPL  ,2017-09-21,153.39,155.8   ,152.75  ,155.8   ,37511661
AAPL  ,2017-09-22,151.89,152.27  ,150.56  ,152.02  ,46645443
AAPL  ,2017-09-25,150.55,151.83  ,149.16  ,149.99  ,44387336
AAPL  ,2017-09-26,153.14,153.92  ,151.69  ,151.78  ,36660045
AAPL  ,2017-09-27,154.23,154.7189,153.54  ,153.8   ,25504227
AAPL  ,2017-09-28,153.28,154.28  ,152.7   ,153.89  ,22005455
AAPL  ,2017-09-29,154.12,154.13  ,152.0   ,153.21  ,26299810
AAPL  ,2017-10-02,153.81,154.45  ,152.72  ,154.26  ,18698842
AAPL  ,2017-10-03,154.48,155.09  ,153.91  ,154.01  ,16230293
AAPL  ,2017-10-04,153.48,153.86  ,152.46  ,153.63  ,20163750
AAPL  ,2017-10-05,155.39,155.44  ,154.05  ,154.18  ,21283769
AAPL  ,2017-10-06,155.3 ,155.49  ,154.56  ,154.97  ,17407558
AAPL  ,2017-10-09,155.84,156.73  ,155.485 ,155.81  ,16262923
AAPL  ,2017-10-10,155.9 ,158.0   ,155.1   ,156.055 ,15617014
AAPL  ,2017-10-11,156.55,156.98  ,155.75  ,155.97  ,16905640
AAPL  ,2017-10-12,156.0 ,157.37  ,155.7299,156.35  ,16125053
AAPL  ,2017-10-13,156.99,157.28  ,156.41  ,156.73  ,16394188
AAPL  ,2017-10-16,159.88,160.0   ,157.65  ,157.9   ,24121452
AAPL  ,2017-10-17,160.47,160.87  ,159.23  ,159.78  ,18997275
AAPL  ,2017-10-18,159.76,160.71  ,159.6   ,160.42  ,16374164
AAPL  ,2017-10-19,155.98,157.08  ,155.02  ,156.75  ,42584166
AAPL  ,2017-10-20,156.25,157.75  ,155.96  ,156.61  ,23974146
AAPL  ,2017-10-23,156.17,157.69  ,155.5   ,156.89  ,21984327
AAPL  ,2017-10-24,157.1 ,157.42  ,156.2   ,156.29  ,17757230
AAPL  ,2017-10-25,156.41,157.55  ,155.27  ,156.91  ,21207098
AAPL  ,2017-10-26,157.41,157.8295,156.78  ,157.23  ,17000469
AAPL  ,2017-10-27,163.05,163.6   ,158.7   ,159.29  ,44454160
AAPL  ,2017-10-30,166.72,168.07  ,163.72  ,163.89  ,44700772
AAPL  ,2017-10-31,169.04,169.6499,166.94  ,167.9   ,36046828
AAPL  ,2017-11-01,166.89,169.94  ,165.61  ,169.87  ,33637762
AAPL  ,2017-11-02,168.11,168.5   ,165.28  ,167.64  ,41393373
AAPL  ,2017-11-03,172.5 ,174.26  ,171.12  ,174.0   ,59398631
AAPL  ,2017-11-06,174.25,174.99  ,171.72  ,172.365 ,35026306
AAPL  ,2017-11-07,174.81,175.25  ,173.6   ,173.91  ,24361485
AAPL  ,2017-11-08,176.24,176.24  ,174.33  ,174.66  ,24409527
AAPL  ,2017-11-09,175.88,176.095 ,173.14  ,175.11  ,29482596
AAPL  ,2017-11-10,174.67,175.38  ,174.27  ,175.11  ,25145500
AAPL  ,2017-11-13,173.97,174.5   ,173.4   ,173.5   ,16982080
AAPL  ,2017-11-14,171.34,173.48  ,171.18  ,173.04  ,24782487
AAPL  ,2017-11-15,169.08,170.3197,168.38  ,169.97  ,29158070
AAPL  ,2017-11-16,171.1 ,171.87  ,170.3   ,171.18  ,23637484
AAPL  ,2017-11-17,170.15,171.39  ,169.64  ,171.04  ,21899544
AAPL  ,2017-11-20,169.98,170.56  ,169.56  ,170.29  ,16262447
AAPL  ,2017-11-21,173.14,173.7   ,170.78  ,170.78  ,25131295
AAPL  ,2017-11-22,174.96,175.0   ,173.05  ,173.36  ,25588925
AAPL  ,2017-11-23,174.96,174.96  ,174.96  ,174.96  ,0
AAPL  ,2017-11-24,174.97,175.5   ,174.6459,175.1   ,14026673
AAPL  ,2017-11-27,174.09,175.08  ,173.34  ,175.05  ,20716802
AAPL  ,2017-11-28,173.07,174.87  ,171.86  ,174.3   ,26428802
AAPL  ,2017-11-29,169.48,172.92  ,167.16  ,172.63  ,41666364
AAPL  ,2017-11-30,171.85,172.14  ,168.44  ,170.43  ,41527218
