Symbol,Date      ,Close ,High    ,Low    ,Open    ,Volume
MSFT  ,2017-08-03,72.15 ,72.44   ,71.845 ,72.19   ,18214424
MSFT  ,2017-08-04,72.68 ,73.04   ,72.24  ,72.4    ,22578952
MSFT  ,2017-08-07,72.4  ,72.9    ,72.26  ,72.8    ,18705681
MSFT  ,2017-08-08,72.79 ,73.13   ,71.75  ,72.09   ,22044587
MSFT  ,2017-08-09,72.47 ,72.51   ,72.05  ,72.25   ,22213410
MSFT  ,2017-08-10,71.41 ,72.19   ,71.35  ,71.9    ,24734461
MSFT  ,2017-08-11,72.5  ,72.7    ,71.28  ,71.61   ,21443675
MSFT  ,2017-08-14,73.59 ,73.72   ,72.95  ,73.06   ,20096592
MSFT  ,2017-08-15,73.22 ,73.59   ,73.04  ,73.59   ,19181402
MSFT  ,2017-08-16,73.65 ,74.1    ,73.17  ,73.34   ,18150402
MSFT  ,2017-08-17,72.4  ,73.87   ,72.4   ,73.58   ,22977519
MSFT  ,2017-08-18,72.49 ,72.84   ,71.93  ,72.27   ,18761491
MSFT  ,2017-08-21,72.15 ,72.48   ,71.7   ,72.47   ,17734767
MSFT  ,2017-08-22,73.16 ,73.24   ,72.35  ,72.35   ,14343674
MSFT  ,2017-08-23,72.72 ,73.15   ,72.53  ,72.96   ,13766507
MSFT  ,2017-08-24,72.69 ,72.86   ,72.07  ,72.74   ,17098282
MSFT  ,2017-08-25,72.82 ,73.35   ,72.48  ,72.86   ,12794301
MSFT  ,2017-08-28,72.83 ,73.09   ,72.55  ,73.06   ,14569715
MSFT  ,2017-08-29,73.05 ,73.16   ,72.05  ,72.25   ,11478382
MSFT  ,2017-08-30,74.01 ,74.2099 ,72.8293,73.01   ,16897801
MSFT  ,2017-08-31,74.77 ,74.96   ,73.8   ,74.03   ,27652811
MSFT  ,2017-09-01,73.94 ,74.74   ,73.64  ,74.71   ,21736161
MSFT  ,2017-09-04,73.94 ,73.94   ,73.94  ,73.94   ,0
MSFT  ,2017-09-05,73.61 ,73.89   ,72.98  ,73.34   ,22242384
MSFT  ,2017-09-06,73.4  ,74.04   ,73.35  ,73.74   ,16535785
MSFT  ,2017-09-07,74.34 ,74.6    ,73.6   ,73.68   ,17471200
MSFT  ,2017-09-08,73.98 ,74.44   ,73.84  ,74.33   ,14703816
MSFT  ,2017-09-11,74.76 ,74.945  ,74.31  ,74.31   ,17910383
MSFT  ,2017-09-12,74.68 ,75.24   ,74.37  ,74.76   ,14394850
MSFT  ,2017-09-13,75.21 ,75.23   ,74.55  ,74.93   ,13380802
MSFT  ,2017-09-14,74.77 ,75.49   ,74.52  ,75.0    ,15733914
MSFT  ,2017-09-15,75.31 ,75.39   ,74.07  ,74.83   ,38578441
MSFT  ,2017-09-18,75.16 ,75.97   ,75.04  ,75.23   ,23306959
MSFT  ,2017-09-19,75.44 ,75.71   ,75.01  ,75.21   ,16093343
MSFT  ,2017-09-20,74.94 ,75.55   ,74.31  ,75.35   ,21587878
MSFT  ,2017-09-21,74.21 ,75.24   ,74.11  ,75.11   ,19186140
MSFT  ,2017-09-22,74.41 ,74.51   ,73.85  ,73.99   ,14111365
MSFT  ,2017-09-25,73.26 ,74.25   ,72.92  ,74.09   ,24149163
MSFT  ,2017-09-26,73.26 ,73.81   ,72.99  ,73.67   ,18019577
MSFT  ,2017-09-27,73.85 ,74.17   ,73.17  ,73.55   ,19565135
MSFT  ,2017-09-28,73.87 ,73.97   ,73.31  ,73.54   ,10883787
MSFT  ,2017-09-29,74.49 ,74.535  ,73.88  ,73.94   ,17079114
MSFT  ,2017-10-02,74.61 ,75.01   ,74.295 ,74.71   ,15304762
MSFT  ,2017-10-03,74.26 ,74.88   ,74.195 ,74.67   ,12190403
MSFT  ,2017-10-04,74.69 ,74.72   ,73.71  ,74.0    ,13317681
MSFT  ,2017-10-05,75.97 ,76.12   ,74.96  ,75.22   ,21195261
MSFT  ,2017-10-06,76.0  ,76.03   ,75.54  ,75.67   ,13959814
MSFT  ,2017-10-09,76.29 ,76.55   ,75.86  ,75.97   ,11386502
MSFT  ,2017-10-10,76.29 ,76.63   ,76.14  ,76.33   ,13944545
MSFT  ,2017-10-11,76.42 ,76.46   ,75.95  ,76.36   ,15388898
MSFT  ,2017-10-12,77.12 ,77.29   ,76.37  ,76.49   ,16876538
MSFT  ,2017-10-13,77.49 ,77.87   ,77.29  ,77.59   ,15335742
MSFT  ,2017-10-16,77.65 ,77.81   ,77.35  ,77.42   ,12380093
MSFT  ,2017-10-17,77.59 ,77.62   ,77.25  ,77.47   ,16823989
MSFT  ,2017-10-18,77.61 ,77.85   ,77.37  ,77.67   ,13300701
MSFT  ,2017-10-19,77.91 ,77.93   ,77.35  ,77.57   ,15092758
MSFT  ,2017-10-20,78.81 ,78.97   ,78.22  ,78.32   ,22866426
MSFT  ,2017-10-23,78.83 ,79.34   ,78.76  ,78.99   ,20627173
MSFT  ,2017-10-24,78.86 ,79.2    ,78.46  ,78.9    ,17517182
MSFT  ,2017-10-25,78.63 ,79.1    ,78.01  ,78.58   ,20410808
MSFT  ,2017-10-26,78.76 ,79.42   ,78.75  ,79.2    ,32120717
MSFT  ,2017-10-27,83.81 ,86.2    ,83.61  ,84.37   ,71066729
MSFT  ,2017-10-30,83.89 ,84.325  ,83.105 ,83.7    ,31756653
MSFT  ,2017-10-31,83.18 ,84.36   ,83.11  ,84.36   ,27086575
MSFT  ,2017-11-01,83.18 ,83.76   ,82.88  ,83.68   ,22307371
MSFT  ,2017-11-02,84.05 ,84.46   ,83.12  ,83.35   ,23992945
MSFT  ,2017-11-03,84.14 ,84.54   ,83.4   ,84.08   ,17633543
MSFT  ,2017-11-06,84.47 ,84.7    ,84.0825,84.2    ,19860852
MSFT  ,2017-11-07,84.27 ,84.9    ,83.93  ,84.77   ,17939727
MSFT  ,2017-11-08,84.56 ,84.61   ,83.83  ,84.14   ,18034170
MSFT  ,2017-11-09,84.09 ,84.27   ,82.9   ,84.11   ,21178356
MSFT  ,2017-11-10,83.87 ,84.095  ,83.23  ,83.79   ,19397793
MSFT  ,2017-11-13,83.93 ,83.94   ,83.46  ,83.66   ,14196896
MSFT  ,2017-11-14,84.05 ,84.1    ,82.98  ,83.5    ,18801280
MSFT  ,2017-11-15,82.98 ,83.69   ,82.69  ,83.47   ,19383102
MSFT  ,2017-11-16,83.2  ,83.42   ,82.94  ,83.1    ,20962750
MSFT  ,2017-11-17,82.4  ,83.12   ,82.24  ,83.12   ,22078993
MSFT  ,2017-11-20,82.53 ,82.59   ,82.25  ,82.4    ,16314978
MSFT  ,2017-11-21,83.72 ,83.84   ,82.74  ,82.74   ,21237454
MSFT  ,2017-11-22,83.11 ,83.9    ,83.04  ,83.83   ,20553089
MSFT  ,2017-11-23,83.11 ,83.11   ,83.11  ,83.11   ,0
MSFT  ,2017-11-24,83.26 ,83.43   ,82.78  ,83.01   ,7425603
MSFT  ,2017-11-27,83.87 ,83.98   ,83.3   ,83.31   ,18265242
MSFT  ,2017-11-28,84.88 ,85.06   ,84.02  ,84.07   ,21925959
