Symbol,Date      ,Close  ,High    ,Low     ,Open    ,Volume
TSLA  ,2017-08-03,347.09 ,350.0   ,343.15  ,345.33  ,13535033
TSLA  ,2017-08-04,356.91 ,357.27  ,343.3   ,347.0   ,9268909
TSLA  ,2017-08-07,355.17 ,359.48  ,352.75  ,357.35  ,6324480
TSLA  ,2017-08-08,365.22 ,368.58  ,357.4   ,357.53  ,7449837
TSLA  ,2017-08-09,363.53 ,370.0   ,358.95  ,361.0   ,6892096
TSLA  ,2017-08-10,355.4  ,366.6504,354.66  ,361.6   ,7092858
TSLA  ,2017-08-11,357.87 ,361.26  ,353.62  ,356.97  ,4365783
TSLA  ,2017-08-14,363.8  ,367.66  ,362.6   ,364.63  ,4519186
TSLA  ,2017-08-15,362.33 ,365.49  ,359.37  ,365.2   ,3085088
TSLA  ,2017-08-16,362.91 ,366.5   ,362.52  ,363.0   ,3413773
TSLA  ,2017-08-17,351.92 ,363.3   ,351.59  ,361.21  ,5027660
TSLA  ,2017-08-18,347.46 ,354.0   ,345.8   ,352.91  ,5408183
TSLA  ,2017-08-21,337.86 ,345.82  ,331.85  ,345.82  ,6495424
TSLA  ,2017-08-22,341.35 ,342.24  ,337.3725,341.13  ,4321966
TSLA  ,2017-08-23,352.77 ,353.49  ,338.3041,338.99  ,4954504
TSLA  ,2017-08-24,352.93 ,356.66  ,349.74  ,352.52  ,4584687
TSLA  ,2017-08-25,348.05 ,355.69  ,347.3   ,354.24  ,3483956
TSLA  ,2017-08-28,345.66 ,347.35  ,339.72  ,347.28  ,3763956
TSLA  ,2017-08-29,347.36 ,349.05  ,338.75  ,339.48  ,4073674
TSLA  ,2017-08-30,353.18 ,353.47  ,347.0   ,349.67  ,3412943
TSLA  ,2017-08-31,355.9  ,358.44  ,352.82  ,353.55  ,4072795
TSLA  ,2017-09-01,355.4  ,357.59  ,353.6902,356.12  ,3049546
TSLA  ,2017-09-04,355.4  ,355.4   ,355.4   ,355.4   ,0
TSLA  ,2017-09-05,349.59 ,355.49  ,345.89  ,353.8   ,3848382
TSLA  ,2017-09-06,344.53 ,350.979 ,341.56  ,349.5   ,4091351
TSLA  ,2017-09-07,350.61 ,352.48  ,343.45  ,345.98  ,4239213
TSLA  ,2017-09-08,343.4  ,349.78  ,342.3   ,348.99  ,3263508
TSLA  ,2017-09-11,363.69 ,363.71  ,350.0   ,351.35  ,7667055
TSLA  ,2017-09-12,362.75 ,368.76  ,360.4   ,364.49  ,5972907
TSLA  ,2017-09-13,366.23 ,368.07  ,359.59  ,363.82  ,4185231
TSLA  ,2017-09-14,377.64 ,377.96  ,362.63  ,364.33  ,7202524
TSLA  ,2017-09-15,379.81 ,380.0   ,372.7   ,374.51  ,5420496
TSLA  ,2017-09-18,385.0  ,389.61  ,377.68  ,380.25  ,7187980
TSLA  ,2017-09-19,375.1  ,382.39  ,373.57  ,380.0   ,6451886
TSLA  ,2017-09-20,373.91 ,378.249 ,371.07  ,373.0   ,4919052
TSLA  ,2017-09-21,366.48 ,376.83  ,364.51  ,374.9   ,4618190
